Date,Account,Closed PnL,Win Rate,Size USD,Size Tokens,Fee,Side,Leverage,LongTrades,ShortTrades,LongShortRatio
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,0.0,159.0,0.08376666666666666,0.0,3,1191.326187411838,3,0,3.0
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,0.0,5556.203333333334,1.3121122222222223,12.501455,9,-230504.22356308374,7,2,2.3333333333333335
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-205.43473700000007,0.36363636363636365,10291.213636363636,372.0262736363636,28.300831000000002,11,-4581.018386014828,5,6,0.7142857142857143
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-24.632033999999997,0.0,5304.975,1779.0,2.652489,2,-2.4280066377871266,2,0,2.0
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,0.0,5116.256666666667,13299.0,3.8371890000000004,3,0.3150581336687065,3,0,3.0
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,304.982785,0.5,8305.572857142857,6160.460614285715,29.069499,14,196.1641049499808,3,11,0.25
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,0.0,15582.089999999998,7.153,7.791045,2,3893344.9999999995,2,0,2.0
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1000.5386120000001,0.6666666666666666,6106.827333333334,10769.753733333333,22.900596,15,183.5847960299761,5,10,0.45454545454545453
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,162.732282,0.4444444444444444,7868.710555555556,9695.566666666668,35.409187,18,3.9890564228533787,10,8,1.1111111111111112
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,537.211402,0.5306122448979592,2555.795306122449,27.84285714285714,31.308469,49,35.42940253742987,22,27,0.7857142857142857
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,141.832675,0.2,8887.428,245.07491,22.218566000000003,10,45232.60286331386,8,2,2.6666666666666665
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,146.936704,0.6153846153846154,6033.711538461538,10897.33846153846,19.609555,13,1.9400318546802822,5,8,0.5555555555555556
