Sentiment,Closed PnL,Win Rate,Leverage
Extreme Fear,4619.4390530625005,0.32965914590002776,79398.46100926054
Extreme Greed,5161.9226438650185,0.3863873398662182,20202.371001269017
Fear,5328.818161336508,0.36403251387116353,11429510.525682943
Greed,3318.100729862654,0.3435587568848799,27794309.202377617
Neutral,3438.6188179521278,0.3554140981087526,11630474.116049761
