Sentiment,Size USD,Size Tokens
Extreme Fear,6773.464125428701,2260.765145390434
Extreme Greed,5371.637181741856,12979.765036125353
Fear,8975.928545864448,6465.73065968083
Greed,6427.866594360551,4779.798712157173
Neutral,6963.694860853634,6104.883648085873
